Edit distance hist:	
0	441669
1	457942
2	593066
3	594720
4	595193
5	595450
6	595572
7	595673
8	595737
9	595779
10	595808
11	595835
12	595876
13	595908
14	595933
15	595963
16	595994
17	596026
18	596054
19	596080
20	596116
21	596144
22	596178
23	596208
24	596244
25	596276
26	596313
27	596354
28	596382
29	596392
30	596400
31	596406
32	596411
33	596413
34	596413
35	596415
36	596418
37	596418
38	596419
39	596419
40	596419
41	596420
42	596421
43	596421
44	596422
45	596423
46	596423
47	596425
48	596429
49	596436
50	596444
51	596452
52	596462
53	596469
54	596474
55	596482
56	596486
57	596488
58	596490
59	596491
60	596491
61	596493
62	596493
63	596493
64	596493
65	596493
66	596493
67	596493
68	596494
69	596494
70	596494
71	596495
72	596496
73	596496
74	596497
75	596497
76	596498
77	596498
78	596498
79	596498
80	596498
81	596499
guess substitutions LER:	0.00003559
guess deletions LER:	0.00346032
guess insertions LER:	0.00001379
guess edit dist LER:	0.00350970
